S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,gpaeng,GPA,GPA_MATCH,GPA_SCI,gpaeng
72363,2,3.1,1,96026,อัตตัรกียะห์อิสลามียะห์,96,นราธิวาส,S,0,3,1.8,1.9,2.73,3.1,1.8,1.9,2.7
73895,2,2.75,1,84047,สุราษฎร์พิทยา,84,สุราษฎร์ธานี,S,1,3,2.5,3.14,2.73,2.8,2.5,3.1,2.7
73926,1,2.78,2,82004,ดีบุกพังงาวิทยายน,82,พังงา,S,1,2,2.04,2.95,2.15,2.8,2,3,2.2
73908,0,3.37,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,1,2.04,2.47,3.4,1,2,2.5
73931,2,3.11,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,1,3,2.26,1.94,2.4,3.1,2.3,1.9,2.4
73944,0,3.13,1,92015,มัธยมวัดควนวิเศษมูลนิธิ,92,ตรัง,S,1,1,2.72,2.9,3.22,3.1,2.7,2.9,3.2
73985,2,2.98,1,84023,บางสวรรค์วิทยาคม,84,สุราษฎร์ธานี,S,1,2,2,3.5,2.32,3,2,3.5,2.3
74000,0,3.16,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,1,1,1.96,2.45,2.37,3.2,2,2.5,2.4
74015,2,2.71,1,84047,สุราษฎร์พิทยา,84,สุราษฎร์ธานี,S,1,2,3.42,3.6,3.57,2.7,3.4,3.6,3.6
74048,2,2.52,1,84103231,เทศบาลบ้านย่านยาว,82,พังงา,S,1,2,1,2.25,2.97,2.5,1,2.3,3
73055,0,3.21,0,86015,สอาดเผดิมวิทยา,86,ชุมพร,S,1,3,3.2,2.85,3.15,3.2,3.2,2.9,3.2
74059,2,2.71,1,40032002,พลวิทยา,90,สงขลา,S,1,1,1.3,1.87,2.06,2.7,1.3,1.9,2.1
74277,0,2.86,0,83007,สตรีภูเก็ต,83,ภูเก็ต,S,1,2,2.03,2.5,2.47,2.9,2,2.5,2.5
74079,0,2.78,1,80063,มุสลิมสันติธรรมมูลนิธิ,80,นครศรีธรรมราช,S,1,1,3.51,3.28,3.5,2.8,3.5,3.3,3.5
74082,2,3.5,1,40032002,พลวิทยา,90,สงขลา,S,1,1,1.95,2.87,2.35,3.5,2,2.9,2.4
74283,2,2.93,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,1,2,2.25,2,2.75,2.9,2.3,2,2.8
74112,1,3.33,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,3,4,3,3.3,3,4,3
74136,2,2.96,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,2.07,2.75,2.2,3,2.1,2.8,2.2
74160,0,3.08,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,2,2.72,3.76,3.6,3.1,2.7,3.8,3.6
74178,2,3.17,1,96023,สุไหงโก-ลก,96,นราธิวาส,S,1,1,2.23,2.72,3.23,3.2,2.2,2.7,3.2
74294,2,3.22,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,2.56,2.63,3.31,3.2,2.6,2.6,3.3
73205,2,2.93,0,82007,"ตะกั่วป่า""เสนานุกูล""",82,พังงา,S,1,3,2.62,2.85,2.44,2.9,2.6,2.9,2.4
73209,0,3.61,0,93029,สตรีพัทลุง,93,พัทลุง,S,1,3,2.07,2.12,2.68,3.6,2.1,2.1,2.7
74217,3,3.4,0,85004,พิชัยรัตนาคาร,85,ระนอง,S,1,1,1.37,2.9,2.52,3.4,1.4,2.9,2.5
74228,2,3.08,0,90026,มหาวชิราวุธ จังหวัดสงขลา,90,สงขลา,S,1,1,2.53,2.52,3.25,3.1,2.5,2.5,3.3
74236,3,3.27,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,1,2.75,2.37,2.33,3.3,2.8,2.4,2.3
74241,0,2.65,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,1,1,2.88,2.19,3.18,2.7,2.9,2.2,3.2
74253,2,2.93,1,84023,บางสวรรค์วิทยาคม,84,สุราษฎร์ธานี,S,1,2,2.22,2.75,2.25,2.9,2.2,2.8,2.3
73255,2,2.72,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,1,3,2.98,2.92,3.93,2.7,3,2.9,3.9
74356,2,3.62,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,2.33,1.66,2.5,3.6,2.3,1.7,2.5
74390,2,2.97,1,84038,เมืองสุราษฎร์ธานี,84,สุราษฎร์ธานี,S,1,2,3.5,4,3,3,3.5,4,3
74407,2,3.25,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,1.67,3.18,2.87,3.3,1.7,3.2,2.9
73333,2,3.29,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,2.62,2.83,2.68,3.3,2.6,2.8,2.7
73335,3,2.69,0,80039,ทุ่งสง,80,นครศรีธรรมราช,S,1,3,2.33,2.75,2.64,2.7,2.3,2.8,2.6
74452,2,2.85,0,99840047,เทศบาลปลูกปัญญา ในประอุปถัมภ์,83,ภูเก็ต,S,1,2,2.2,1.8,1.89,2.9,2.2,1.8,1.9
74453,0,2.7,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,S,1,2,1.73,2.9,3.53,2.7,1.7,2.9,3.5
74454,2,3.06,1,80052,ปากพนัง,80,นครศรีธรรมราช,S,1,3,1.53,2.2,2.45,3.1,1.5,2.2,2.5
74463,1,2.69,0,84004,เกาะสมุย,84,สุราษฎร์ธานี,S,1,1,2.5,3,3,2.7,2.5,3,3
74487,2,2.94,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,2.62,3.25,2.9,2.9,2.6,3.3,2.9
74523,1,3.7,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,2.59,2.25,2.54,3.7,2.6,2.3,2.5
73516,3,3.33,0,85004,พิชัยรัตนาคาร,85,ระนอง,S,1,3,4,4,3.8,3.3,4,4,3.8
74517,2,3,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,1,3,1.8,1.87,2.63,3,1.8,1.9,2.6
74549,0,2.66,1,80064,เมืองนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,1.75,2.5,4,2.7,1.8,2.5,4
74552,2,2.99,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,2.25,2.5,3.16,3,2.3,2.5,3.2
74586,1,3.84,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,3.9,3.57,4,3.8,3.9,3.6,4
74604,1,3.9,1,99840173,มัธยมเปี่ยมรัก,84,สุราษฎร์ธานี,S,1,3,2.46,2.87,3.65,3.9,2.5,2.9,3.7
73606,2,3.31,0,90019,นวมินทราชูทิศ ทักษิณ,90,สงขลา,S,1,3,3.32,3.06,2.95,3.3,3.3,3.1,3
74622,0,3.52,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,3.66,2.4,3.5,3.5,3.7,2.4,3.5
74628,3,3.04,1,99840033,พะตงวิทยามูลนิธิ,90,สงขลา,S,1,2,1.5,3,2.69,3,1.5,3,2.7
74647,2,2.64,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,1,0,2.33,2.16,3.06,2.6,2.3,2.2,3.1
74669,2,2.79,1,82009,ท้ายเหมืองวิทยา,82,พังงา,S,1,2,3,3.5,2,2.8,3,3.5,2
74699,0,2.66,1,99840131,ราชประชานุเคราะห์ 42 สตูล,91,สตูล,S,1,1,2,2,2.68,2.7,2,2,2.7
74739,0,2.9,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,S,1,1,1.5,2.91,3.98,2.9,1.5,2.9,4
74744,2,3.46,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,S,1,2,1.75,3,4,3.5,1.8,3,4
74757,2,3.06,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,3.03,2.9,2.9,3.1,3,2.9,2.9
74795,3,3.45,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,2.26,2.56,2.71,3.5,2.3,2.6,2.7
74827,2,3.25,0,82007,"ตะกั่วป่า""เสนานุกูล""",82,พังงา,S,1,2,3,3.25,2.11,3.3,3,3.3,2.1
74840,0,2.6,1,99840087,เทศบาล 1 (บ้านท่าตะเภา),86,ชุมพร,S,1,2,2.78,2.78,3.79,2.6,2.8,2.8,3.8
74860,2,3.1,0,80080,สตรีทุ่งสง,80,นครศรีธรรมราช,S,1,1,2.11,3.38,3.15,3.1,2.1,3.4,3.2
74862,2,3.04,1,96023,สุไหงโก-ลก,96,นราธิวาส,S,1,0,2.91,2.59,3.05,3,2.9,2.6,3.1
74868,2,2.99,1,83900410,พัฒนาศาสตร์มูลนิธิ,90,สงขลา,S,1,2,3.41,2.58,3.75,3,3.4,2.6,3.8
74878,0,2.57,1,84103231,เทศบาลบ้านย่านยาว,82,พังงา,S,1,2,1.6,2.9,2.3,2.6,1.6,2.9,2.3
73911,1,3.21,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,3.83,2.63,3.33,3.2,3.8,2.6,3.3
74914,0,3.64,1,96026,อัตตัรกียะห์อิสลามียะห์,96,นราธิวาส,S,1,3,1.37,2.12,1.8,3.6,1.4,2.1,1.8
74917,0,2.45,1,80107,ท่านครญาณวโรภาสอุทิศ,80,นครศรีธรรมราช,S,1,1,1.25,1,3.1,2.5,1.3,1,3.1
74931,1,2.96,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,2.5,2.76,2.6,3,2.5,2.8,2.6
74946,2,2.83,1,9,สุราษฏร์พิทยา2,84,สุราษฎร์ธานี,S,1,1,3.16,2.89,3.38,2.8,3.2,2.9,3.4
74953,3,3.32,1,83910310,อรุณศาสน์วิทยามูลนิธิ,91,สตูล,S,1,1,3.39,3.21,4,3.3,3.4,3.2,4
75004,1,3.68,1,84012011,เตรียมอุดมศึกษาพัฒนาการ สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,1,1,2.09,2.62,3.19,3.7,2.1,2.6,3.2
75024,2,2.85,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,2,2.8,2.37,2.75,2.9,2.8,2.4,2.8
75061,3,3.14,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,1,1.95,2.3,2.34,3.1,2,2.3,2.3
75062,0,3.19,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,1.59,1.6,1.53,3.2,1.6,1.6,1.5
75075,1,2.32,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,1.75,1.95,2.57,2.3,1.8,2,2.6
75082,0,2.44,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,2,1.3,2.03,1.89,2.4,1.3,2,1.9
75091,0,2.52,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,S,1,2,2.5,2.65,2.5,2.5,2.5,2.7,2.5
75109,3,3.34,1,93021,พัทลุงพิทยาคม,93,พัทลุง,S,1,2,1.87,1.62,2.01,3.3,1.9,1.6,2
75118,2,2.35,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,2,1.41,2,1.91,2.4,1.4,2,1.9
75233,0,2.62,0,81013,อำมาตย์พานิชนุกูล,81,กระบี่,S,1,2,3.16,2.83,3.2,2.6,3.2,2.8,3.2
75234,0,2.9,1,84030,พระแสงวิทยา,84,สุราษฎร์ธานี,S,1,1,1.33,1.75,2.16,2.9,1.3,1.8,2.2
75273,1,2.92,0,81013,อำมาตย์พานิชนุกูล,81,กระบี่,S,1,3,1.68,2.95,3.17,2.9,1.7,3,3.2
75274,3,3.18,1,80018,ฉวางรัชดาภิเษก,80,นครศรีธรรมราช,S,1,1,2.77,2.17,1.87,3.2,2.8,2.2,1.9
75286,3,2.85,0,90019,นวมินทราชูทิศ ทักษิณ,90,สงขลา,S,1,1,1.65,1.75,2.21,2.9,1.7,1.8,2.2
75306,2,3,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,3,2.22,1.97,2.38,3,2.2,2,2.4
75325,3,2.96,1,92023,สวัสดิ์รัตนาภิมุข,92,ตรัง,S,1,1,1.08,1.33,1.66,3,1.1,1.3,1.7
75422,1,3.25,0,83007,สตรีภูเก็ต,83,ภูเก็ต,S,1,2,1.1,1.87,1.97,3.3,1.1,1.9,2
75424,0,2.21,1,80064,เมืองนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,1.5,1.62,1.96,2.2,1.5,1.6,2
75490,0,2.39,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,S,1,2,2,3,2,2.4,2,3,2
75500,1,2.35,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,2.16,1.9,2.71,2.4,2.2,1.9,2.7
75524,0,2.89,0,84045,สุราษฎร์ธานี,84,สุราษฎร์ธานี,S,1,2,2.58,3.12,2,2.9,2.6,3.1,2
75507,0,2.38,1,80042,ทุ่งใหญ่เฉลิมราชอนุสรณ์ รัชมังคลาภิเษก,80,นครศรีธรรมราช,S,1,1,1.2,1.5,1.92,2.4,1.2,1.5,1.9
75528,0,2.26,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,S,1,2,2.23,1.8,3.14,2.3,2.2,1.8,3.1
75793,0,2.49,1,80066,โยธินบำรุง,80,นครศรีธรรมราช,S,1,3,1.8,2.12,2.47,2.5,1.8,2.1,2.5
75808,0,2.08,0,99840040,ธิดาแม่พระ,84,สุราษฎร์ธานี,S,1,1,3.25,1.75,2.85,2.1,3.3,1.8,2.9
75813,3,3.29,1,80406,วิทยาลัยเทคนิคสิชล,80,นครศรีธรรมราช,S,1,3,1.33,2.37,1.93,3.3,1.3,2.4,1.9
75850,2,2.8,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,S,1,1,1.35,1.58,1.73,2.8,1.4,1.6,1.7
75857,2,2.38,1,84023,บางสวรรค์วิทยาคม,84,สุราษฎร์ธานี,S,1,1,0,0,0,2.4,0,0,0
75860,0,2.77,0,81013,อำมาตย์พานิชนุกูล,81,กระบี่,S,1,1,3,2.57,3.08,2.8,3,2.6,3.1
75869,2,2.82,1,83100016,มุสลิมวิทยาภูเก็ต,83,ภูเก็ต,S,1,2,1.58,1.91,2.13,2.8,1.6,1.9,2.1
75932,0,2.38,0,90026,มหาวชิราวุธ จังหวัดสงขลา,90,สงขลา,S,1,3,1.86,2.14,2.13,2.4,1.9,2.1,2.1
75956,2,2.89,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,S,1,2,1.76,1.25,1.8,2.9,1.8,1.3,1.8
75961,2,2.35,1,80055,พรหมคีรีพิทยาคม,80,นครศรีธรรมราช,S,1,1,2.3,1.89,3.25,2.4,2.3,1.9,3.3
76285,1,3.2,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,1,2,1.33,2,2.2,3.2,1.3,2,2.2
76121,0,3.46,0,70803,บรมราชินีนาถราชวิทยาลัย,70,ราชบุรี,W,1,1,2.17,2.82,1.95,3.5,2.2,2.8,2
76192,3,2.78,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,1,1.55,1.7,2.16,2.8,1.6,1.7,2.2
76248,1,2.6,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,1,1,2.75,2.75,2.63,2.6,2.8,2.8,2.6
76272,0,2.92,0,83007,สตรีภูเก็ต,83,ภูเก็ต,S,1,2,1.41,2.4,1.57,2.9,1.4,2.4,1.6
76287,2,3.32,0,74102,สมุทรสาครบูรณะ,74,สมุทรสาคร,B,1,1,2,3.25,3.75,3.3,2,3.3,3.8
76566,1,3.27,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,1,2,1.75,2.08,2.55,3.3,1.8,2.1,2.6
76709,0,3.75,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,1,3,2,1.7,2.4,3.8,2,1.7,2.4
76737,0,3.19,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,1,1,1,1.5,1.72,3.2,1,1.5,1.7
